,status,model,n_factors,n_epochs,lr_all,reg_all,result
26,True,26,20,80,0.007,0.1,"{'test_rmse': array([0.8213984 , 0.82117802, 0.82167506]), 'fit_time': (111.51176285743713, 112.57453060150146, 113.21049094200134), 'test_time': (18.693662643432617, 18.515761375427246, 18.599469900131226)}"
27,True,27,50,40,0.002,0.02,"{'test_rmse': array([0.82312789, 0.82469001, 0.82454238]), 'fit_time': (71.59326672554016, 72.69110703468323, 72.43352794647217), 'test_time': (20.488784074783325, 19.30303192138672, 20.23384428024292)}"
28,True,28,50,40,0.002,0.05,"{'test_rmse': array([0.84041009, 0.84075792, 0.84049677]), 'fit_time': (71.40550589561462, 72.89090013504028, 72.90989923477173), 'test_time': (19.716547966003418, 18.352304220199585, 20.360992431640625)}"
29,True,29,50,40,0.002,0.1,"{'test_rmse': array([0.86100512, 0.86071775, 0.86160982]), 'fit_time': (71.61505079269409, 72.90601325035095, 72.57649683952332), 'test_time': (19.61548614501953, 20.363205671310425, 19.71560549736023)}"
30,True,30,50,40,0.005,0.02,"{'test_rmse': array([0.82084395, 0.82199194, 0.82231308]), 'fit_time': (71.6087749004364, 73.0186550617218, 73.52169585227966), 'test_time': (18.64831519126892, 20.236254930496216, 19.569297552108765)}"
31,True,31,50,40,0.005,0.05,"{'test_rmse': array([0.80740997, 0.80737025, 0.80568737]), 'fit_time': (71.82271599769592, 72.84187531471252, 72.66882157325745), 'test_time': (19.82239317893982, 18.48267912864685, 20.280812978744507)}"
32,True,32,50,40,0.005,0.1,"{'test_rmse': array([0.84127647, 0.84073933, 0.84125825]), 'fit_time': (71.74606943130493, 72.81038737297058, 73.07858920097351), 'test_time': (20.617841482162476, 18.49405074119568, 20.434417486190796)}"
33,True,33,50,40,0.007,0.02,"{'test_rmse': array([0.83079373, 0.830916  , 0.83051227]), 'fit_time': (71.26029682159424, 73.02386784553528, 74.43142747879028), 'test_time': (20.585853576660156, 18.57101058959961, 20.493642568588257)}"
34,True,34,50,40,0.007,0.05,"{'test_rmse': array([0.8022542 , 0.80365096, 0.80217397]), 'fit_time': (71.27277731895447, 72.60115194320679, 72.53552722930908), 'test_time': (21.33854842185974, 18.725077629089355, 18.530098915100098)}"
35,True,35,50,40,0.007,0.1,"{'test_rmse': array([0.83439544, 0.83477878, 0.83404996]), 'fit_time': (71.33702039718628, 72.98370289802551, 72.43745446205139), 'test_time': (20.62335443496704, 18.691008806228638, 18.798951864242554)}"
